Region,crop type,Year,Area cultivated(Ha),Production(kg),Yeild (kg/ha),Year_Since_Start,Decade,Is_Recent,Region_Code,Region_Avg_Yield,Region_Growth_Rate,Crop_Code,Crop_Avg_Yield,Crop_Trend,Yield_to_Production_Ratio,Area_Missing_Flag,Region_Crop,Region_Year,Crop_Year,Area_Filled,Yield_Growth_Rate,Production_Growth_Rate,Area_Efficiency,Regional_Avg_Yield,Yield_Anomaly,Rolling_Yield_Trend,Yield_Stability,Production_Area_Ratio,Early_Warning_Score,Risk_Level,Risk_Name
Tigray,Barely,1996,87350.0,81711000,935,0,1990,0,9,1323.2252747252746,0.3433343745376231,0,726.1538461538462,0.050681203459444796,87391.44385026737,0,Tigray_Barely,Tigray_1996,Barely_1996,87350.0,0.0,0.0,935.4436176302232,1323.2252747252746,-388.22527472527463,935.0,0.0,935.4436176302232,-388.22527472527463,1,Medium Risk
Afar,Barely,1996,58318.95,0,0,0,1990,0,0,454.0164835164835,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Afar_Barely,Afar_1996,Barely_1996,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,467.5,661.1448404094219,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,1996,295850.0,250946000,848,0,1990,0,1,1654.5824175824175,-0.637926880119351,0,726.1538461538462,inf,295926.88679245283,0,Amhara_Barely,Amhara_1996,Barely_1996,295850.0,inf,inf,848.2203819503127,1625.4222222222222,-777.4222222222222,594.3333333333334,516.5426732936335,848.2203819503127,inf,1,Medium Risk
Oromiya,Barely,1996,384670.0,477066000,1240,0,1990,0,6,1857.7087912087911,-0.430539623348703,0,726.1538461538462,-0.262051081674088,384730.6451612903,0,Oromiya_Barely,Oromiya_1996,Barely_1996,384670.0,0.46226415094339623,0.9010703497963706,1240.1954922401019,1817.2122905027934,-577.2122905027934,696.0,633.8201637688722,1240.1954922401019,-575.8489560020537,1,Medium Risk
Somalia,Barely,1996,4230.0,1728000,409,0,1990,0,8,549.7857142857143,inf,0,726.1538461538462,-0.99860638332681,4224.938875305624,0,Somalia_Barely,Somalia_1996,Barely_1996,4230.0,-0.6701612903225806,-0.9963778596672158,408.51063829787233,549.7857142857143,-140.78571428571433,832.3333333333334,415.72146123736906,408.51063829787233,-142.45225343570414,1,Medium Risk
Benushangul Gumuz,Barely,1996,58318.95,0,0,0,1990,0,2,1183.4835164835165,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_1996,Barely_1996,928.440625,-1.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,549.6666666666666,631.8546773850245,0.0,-1150.8333333333333,2,High Risk
S.N.N.P.R,Barely,1996,52320.0,60167000,1150,0,1990,0,7,1521.2747252747254,-0.574391477501821,0,726.1538461538462,inf,52319.13043478261,0,S.N.N.P.R_Barely,S.N.N.P.R_1996,Barely_1996,52320.0,inf,inf,1149.980886850153,1491.7666666666667,-341.76666666666665,519.6666666666666,582.9325289716927,1149.980886850153,inf,1,Medium Risk
Gambela,Barely,1996,58318.95,0,0,0,1990,0,4,485.2197802197802,-0.1133742964865565,0,726.1538461538462,-1.0,64289.84447004608,1,Gambela_Barely,Gambela_1996,Barely_1996,18.165,-1.0,-1.0,0.0,462.8839779005525,-462.8839779005525,383.3333333333333,663.9528095680696,0.0,-464.8839779005525,2,High Risk
Harari,Barely,1996,58318.95,0,0,0,1990,0,5,12684.181318681318,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Harari_Barely,Harari_1996,Barely_1996,29.570909090909087,0.0,0.0,0.0,536.2277777777778,-536.2277777777778,383.3333333333333,663.9528095680697,0.0,-536.2277777777778,1,Medium Risk
DIRE DAWA,Barely,1996,58318.95,0,0,0,1990,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,-1.0,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_1996,Barely_1996,21.65,0.0,0.0,0.0,361.5824175824176,-361.5824175824176,0.0,0.0,0.0,-361.5824175824176,1,Medium Risk
Tigray,Barely,1997,55540.0,57987000,1044,1,1990,0,9,1323.2252747252746,-0.254042580562166,0,726.1538461538462,-0.290340345853067,55543.10344827586,0,Tigray_Barely,Tigray_1997,Barely_1997,55540.0,inf,inf,1044.0583363341736,1323.2252747252746,-279.22527472527463,348.0,602.7536810339693,1044.0583363341736,inf,1,Medium Risk
Afar,Barely,1997,58318.95,0,0,1,1990,0,0,454.0164835164835,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Afar_Barely,Afar_1997,Barely_1997,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,348.0,602.7536810339693,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,1997,244010.0,233731000,958,1,1990,0,1,1654.5824175824175,2.1132585646544837,0,726.1538461538462,-0.0686004160257585,243978.07933194155,0,Amhara_Barely,Amhara_1997,Barely_1997,244010.0,inf,inf,957.8746772673251,1625.4222222222222,-667.4222222222222,667.3333333333334,579.5250929281088,957.8746772673251,inf,1,Medium Risk
Oromiya,Barely,1997,343640.0,389282000,1133,1,1990,0,6,1857.7087912087911,-0.59146582710219,0,726.1538461538462,-0.184008082739075,343585.1721094439,0,Oromiya_Barely,Oromiya_1997,Barely_1997,343640.0,0.18267223382045938,0.6655129186971347,1132.8192294261437,1817.2122905027934,-684.2122905027934,697.0,609.9286843558023,1132.8192294261437,-683.3641053502758,1,Medium Risk
Somalia,Barely,1997,4220.0,2573000,610,1,1990,0,8,549.7857142857143,inf,0,726.1538461538462,0.4890046296296295,4218.0327868852455,0,Somalia_Barely,Somalia_1997,Barely_1997,4220.0,-0.46160635481023826,-0.9933903956514815,609.7156398104265,549.7857142857143,60.214285714285666,900.3333333333334,266.2260943884599,609.7156398104265,58.75928896382395,0,Low Risk
Benushangul Gumuz,Barely,1997,58318.95,0,0,1,1990,0,2,1183.4835164835165,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_1997,Barely_1997,928.440625,-1.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,581.0,567.0564345812505,0.0,-1150.8333333333333,2,High Risk
S.N.N.P.R,Barely,1997,48550.0,57469000,1184,1,1990,0,7,1521.2747252747254,-0.701379073827735,0,726.1538461538462,-0.044841856831818,48538.00675675676,0,S.N.N.P.R_Barely,S.N.N.P.R_1997,Barely_1997,48550.0,inf,inf,1183.707518022657,1491.7666666666667,-307.76666666666665,598.0,592.0912091899355,1183.707518022657,inf,1,Medium Risk
Gambela,Barely,1997,58318.95,0,0,1,1990,0,4,485.2197802197802,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Gambela_Barely,Gambela_1997,Barely_1997,18.165,-1.0,-1.0,0.0,462.8839779005525,-462.8839779005525,394.6666666666667,683.582718720517,0.0,-464.8839779005525,2,High Risk
Harari,Barely,1997,58318.95,0,0,1,1990,0,5,12684.181318681318,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Harari_Barely,Harari_1997,Barely_1997,29.570909090909087,0.0,0.0,0.0,536.2277777777778,-536.2277777777778,394.6666666666667,683.582718720517,0.0,-536.2277777777778,1,Medium Risk
DIRE DAWA,Barely,1997,58318.95,0,0,1,1990,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_1997,Barely_1997,21.65,0.0,0.0,0.0,361.5824175824176,-361.5824175824176,0.0,0.0,0.0,-361.5824175824176,1,Medium Risk
Tigray,Barely,1998,52930.0,41914000,792,2,1990,0,9,1323.2252747252746,-0.401031767580776,0,726.1538461538462,-0.277182816838256,52921.71717171717,0,Tigray_Barely,Tigray_1998,Barely_1998,52930.0,inf,inf,791.8760627243529,1323.2252747252746,-531.2252747252746,264.0,457.26141319818385,791.8760627243529,inf,1,Medium Risk
Afar,Barely,1998,58318.95,0,0,2,1990,0,0,454.0164835164835,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Afar_Barely,Afar_1998,Barely_1998,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,264.0,457.26141319818385,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,1998,220710.0,211264000,957,2,1990,0,1,1654.5824175824175,-0.592938701112528,0,726.1538461538462,-0.09612332125392,220756.53082549636,0,Amhara_Barely,Amhara_1998,Barely_1998,220710.0,inf,inf,957.2017579629378,1625.4222222222222,-668.4222222222222,583.0,511.58870198627335,957.2017579629378,inf,1,Medium Risk
Oromiya,Barely,1998,352590.0,479665000,1360,2,1990,0,6,1857.7087912087911,-0.210069101353042,0,726.1538461538462,0.2321787290447541,352694.85294117645,0,Oromiya_Barely,Oromiya_1998,Barely_1998,352590.0,0.42110762800417967,1.270453082399273,1360.4044357469015,1817.2122905027934,-457.2122905027934,772.3333333333334,698.5530282901458,1360.4044357469015,-455.52072979238994,1,Medium Risk
Somalia,Barely,1998,4190.0,1595000,381,2,1990,0,8,549.7857142857143,inf,0,726.1538461538462,-0.380101049358725,4186.351706036746,0,Somalia_Barely,Somalia_1998,Barely_1998,4190.0,-0.7198529411764706,-0.9966747625947275,380.66825775656326,549.7857142857143,-168.78571428571433,899.3333333333334,492.0409874526036,380.66825775656326,-170.50224198948553,2,High Risk
Benushangul Gumuz,Barely,1998,58318.95,0,0,2,1990,0,2,1183.4835164835165,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_1998,Barely_1998,928.440625,-1.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,580.3333333333334,701.5699062341067,0.0,-1150.8333333333333,2,High Risk
S.N.N.P.R,Barely,1998,49970.0,50575000,1012,2,1990,0,7,1521.2747252747254,-0.423745228735828,0,726.1538461538462,-0.119960326436861,49975.296442687744,0,S.N.N.P.R_Barely,S.N.N.P.R_1998,Barely_1998,49970.0,inf,inf,1012.1072643586152,1491.7666666666667,-479.76666666666665,464.3333333333333,511.12066416193096,1012.1072643586152,inf,1,Medium Risk
Gambela,Barely,1998,58318.95,0,0,2,1990,0,4,485.2197802197802,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Gambela_Barely,Gambela_1998,Barely_1998,18.165,-1.0,-1.0,0.0,462.8839779005525,-462.8839779005525,337.3333333333333,584.2784724199014,0.0,-464.8839779005525,2,High Risk
Harari,Barely,1998,58318.95,0,0,2,1990,0,5,12684.181318681318,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Harari_Barely,Harari_1998,Barely_1998,29.570909090909087,0.0,0.0,0.0,536.2277777777778,-536.2277777777778,337.3333333333333,584.2784724199014,0.0,-536.2277777777778,1,Medium Risk
DIRE DAWA,Barely,1998,58318.95,0,0,2,1990,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_1998,Barely_1998,21.65,0.0,0.0,0.0,361.5824175824176,-361.5824175824176,0.0,0.0,0.0,-361.5824175824176,1,Medium Risk
Tigray,Barely,1999,78400.0,84442000,1077,3,1990,0,9,1323.2252747252746,-0.252778564349426,0,726.1538461538462,1.014649043279095,78404.82822655524,0,Tigray_Barely,Tigray_1999,Barely_1999,78400.0,inf,inf,1077.0663265306123,1323.2252747252746,-246.22527472527463,359.0,621.806239917227,1077.0663265306123,inf,1,Medium Risk
Afar,Barely,1999,58318.95,0,0,3,1990,0,0,454.0164835164835,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Afar_Barely,Afar_1999,Barely_1999,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,359.0,621.806239917227,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,1999,262620.0,202476000,771,3,1990,0,1,1654.5824175824175,-0.725671642195483,0,726.1538461538462,-0.0415972432596183,262614.7859922179,0,Amhara_Barely,Amhara_1999,Barely_1999,262620.0,inf,inf,770.9846927119031,1625.4222222222222,-854.4222222222222,616.0,554.9783779571958,770.9846927119031,inf,1,Medium Risk
Oromiya,Barely,1999,383450.0,385697000,1006,3,1990,0,6,1857.7087912087911,-0.428335341660108,0,726.1538461538462,-0.195903390908238,383396.62027833,0,Oromiya_Barely,Oromiya_1999,Barely_1999,383450.0,0.30479896238651105,0.9049023094095103,1005.8599556656669,1817.2122905027934,-811.2122905027934,592.3333333333334,526.260708521293,1005.8599556656669,-810.0025892309974,1,Medium Risk
Somalia,Barely,1999,58318.95,3014000,0,3,1990,0,8,549.7857142857143,inf,0,726.1538461538462,0.8896551724137931,inf,1,Somalia_Barely,Somalia_1999,Barely_1999,3861.001666666667,-1.0,-0.9921855757239492,51.681314564133956,549.7857142857143,-549.7857142857143,592.3333333333334,526.260708521293,51.681314564133956,-551.7778998614383,2,High Risk
Benushangul Gumuz,Barely,1999,58318.95,0,0,3,1990,0,2,1183.4835164835165,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_1999,Barely_1999,928.440625,0.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,335.3333333333333,580.8143708047636,0.0,-1149.8333333333333,1,Medium Risk
S.N.N.P.R,Barely,1999,58318.95,91094000,923,3,1990,0,7,1521.2747252747254,-0.067910898282019,0,726.1538461538462,0.8011665842807711,98693.39111592632,1,S.N.N.P.R_Barely,S.N.N.P.R_1999,Barely_1999,76032.3024,inf,inf,1561.9965722976838,1491.7666666666667,-568.7666666666667,307.6666666666667,532.8942984620247,1561.9965722976838,inf,1,Medium Risk
Gambela,Barely,1999,58318.95,0,0,3,1990,0,4,485.2197802197802,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Gambela_Barely,Gambela_1999,Barely_1999,18.165,-1.0,-1.0,0.0,462.8839779005525,-462.8839779005525,307.6666666666667,532.8942984620247,0.0,-464.8839779005525,2,High Risk
Harari,Barely,1999,20.0,0,0,3,1990,0,5,12684.181318681318,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,0,Harari_Barely,Harari_1999,Barely_1999,20.0,0.0,0.0,0.0,536.2277777777778,-536.2277777777778,307.6666666666667,532.8942984620247,0.0,-536.2277777777778,1,Medium Risk
DIRE DAWA,Barely,1999,58318.95,0,0,3,1990,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_1999,Barely_1999,21.65,0.0,0.0,0.0,361.5824175824176,-361.5824175824176,0.0,0.0,0.0,-361.5824175824176,1,Medium Risk
Tigray,Barely,2000,77900.0,81273000,1043,4,2000,0,9,1323.2252747252746,-0.295971933471933,0,726.1538461538462,-0.0375287179365718,77922.33940556088,0,Tigray_Barely,Tigray_2000,Barely_2000,77900.0,inf,inf,1043.2991014120666,1323.2252747252746,-280.22527472527463,347.6666666666667,602.1763307647798,1043.2991014120666,inf,1,Medium Risk
Afar,Barely,2000,58318.95,0,0,4,2000,0,0,454.0164835164835,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Afar_Barely,Afar_2000,Barely_2000,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,347.6666666666667,602.1763307647798,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,2000,268160.0,199747000,745,4,2000,0,1,1654.5824175824175,-0.726911171995909,0,726.1538461538462,-0.0134781406191351,268116.77852348995,0,Amhara_Barely,Amhara_2000,Barely_2000,268160.0,inf,inf,744.8799224343676,1625.4222222222222,-880.4222222222222,596.0,537.2271400441344,744.8799224343676,inf,1,Medium Risk
Oromiya,Barely,2000,385760.0,398704000,1034,4,2000,0,6,1857.7087912087911,-0.462900496815423,0,726.1538461538462,0.0337233631581266,385593.8104448743,0,Oromiya_Barely,Oromiya_2000,Barely_2000,385760.0,0.38791946308724823,0.9960449969211052,1033.5545416839486,1817.2122905027934,-783.2122905027934,593.0,533.4950796399157,1033.5545416839486,-781.8283260427851,1,Medium Risk
Somalia,Barely,2000,3630.0,2419000,666,4,2000,0,8,549.7857142857143,inf,0,726.1538461538462,-0.19741207697412,3632.132132132132,0,Somalia_Barely,Somalia_2000,Barely_2000,3630.0,-0.3558994197292069,-0.9939328424094065,666.3911845730028,549.7857142857143,116.21428571428567,815.0,193.72919243108385,666.3911845730028,114.86445345214705,0,Low Risk
Benushangul Gumuz,Barely,2000,58318.95,0,0,4,2000,0,2,1183.4835164835165,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_2000,Barely_2000,928.440625,-1.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,566.6666666666666,524.1081313367818,0.0,-1150.8333333333333,2,High Risk
S.N.N.P.R,Barely,2000,5730.0,57877000,1020,4,2000,0,7,1521.2747252747254,-0.447912393998073,0,726.1538461538462,-0.364645311436538,56742.1568627451,0,S.N.N.P.R_Barely,S.N.N.P.R_2000,Barely_2000,5730.0,inf,inf,10100.698080279231,1491.7666666666667,-471.76666666666665,562.0,517.8918806082984,10100.698080279231,inf,1,Medium Risk
Gambela,Barely,2000,58318.95,0,0,4,2000,0,4,485.2197802197802,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Gambela_Barely,Gambela_2000,Barely_2000,18.165,-1.0,-1.0,0.0,462.8839779005525,-462.8839779005525,340.0,588.8972745734184,0.0,-464.8839779005525,2,High Risk
Harari,Barely,2000,30.0,0,0,4,2000,0,5,12684.181318681318,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,0,Harari_Barely,Harari_2000,Barely_2000,30.0,0.0,0.0,0.0,536.2277777777778,-536.2277777777778,340.0,588.8972745734184,0.0,-536.2277777777778,1,Medium Risk
DIRE DAWA,Barely,2000,58318.95,0,0,4,2000,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_2000,Barely_2000,21.65,0.0,0.0,0.0,361.5824175824176,-361.5824175824176,0.0,0.0,0.0,-361.5824175824176,1,Medium Risk
Tigray,Barely,2001,65360.0,57253000,876,5,2000,0,9,1323.2252747252746,-0.453697960897319,0,726.1538461538462,-0.29554710666519,65357.30593607306,0,Tigray_Barely,Tigray_2001,Barely_2001,65360.0,inf,inf,875.9638922888616,1323.2252747252746,-447.22527472527463,292.0,505.75883581011226,875.9638922888616,inf,1,Medium Risk
Afar,Barely,2001,58318.95,0,0,5,2000,0,0,454.0164835164835,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Afar_Barely,Afar_2001,Barely_2001,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,292.0,505.75883581011226,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,2001,287870.0,248852000,864,5,2000,0,1,1654.5824175824175,-0.67619994378923,0,726.1538461538462,0.245835982517885,288023.14814814815,0,Amhara_Barely,Amhara_2001,Barely_2001,287870.0,inf,inf,864.4596519262167,1625.4222222222222,-761.4222222222222,580.0,502.3305684506966,864.4596519262167,inf,1,Medium Risk
Oromiya,Barely,2001,397640.0,513246000,1291,5,2000,0,6,1857.7087912087911,-0.295048890268508,0,726.1538461538462,0.2872858060114771,397556.93261037953,0,Oromiya_Barely,Oromiya_2001,Barely_2001,397640.0,0.494212962962963,1.0624547924067316,1290.7303088220501,1817.2122905027934,-526.2122905027934,718.3333333333334,657.7114362190559,1290.7303088220501,-524.6556227474236,1,Medium Risk
Somalia,Barely,2001,3220.0,1946000,604,5,2000,0,8,549.7857142857143,inf,0,726.1538461538462,-0.19553534518396,3221.8543046357618,0,Somalia_Barely,Somalia_2001,Barely_2001,3220.0,-0.5321456235476375,-0.9962084458524763,604.3478260869565,549.7857142857143,54.214285714285666,919.6666666666666,346.86644884354723,604.3478260869565,52.68593164488555,0,Low Risk
Benushangul Gumuz,Barely,2001,58318.95,0,0,5,2000,0,2,1183.4835164835165,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_2001,Barely_2001,928.440625,-1.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,631.6666666666666,645.9445280620722,0.0,-1150.8333333333333,2,High Risk
S.N.N.P.R,Barely,2001,118410.0,123128000,1040,5,2000,0,7,1521.2747252747254,0.0205979625838217,0,726.1538461538462,1.1274081241253002,118392.30769230767,0,S.N.N.P.R_Barely,S.N.N.P.R_2001,Barely_2001,118410.0,inf,inf,1039.8446077189426,1491.7666666666667,-451.76666666666665,548.0,522.2566418917044,1039.8446077189426,inf,1,Medium Risk
Gambela,Barely,2001,58318.95,0,0,5,2000,0,4,485.2197802197802,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Gambela_Barely,Gambela_2001,Barely_2001,18.165,-1.0,-1.0,0.0,462.8839779005525,-462.8839779005525,346.6666666666667,600.4442799572108,0.0,-464.8839779005525,2,High Risk
Harari,Barely,2001,60.0,57000,950,5,2000,0,5,12684.181318681318,inf,0,726.1538461538462,inf,60.0,0,Harari_Barely,Harari_2001,Barely_2001,60.0,inf,inf,950.0,536.2277777777778,413.77222222222224,663.3333333333334,576.2233363317848,950.0,inf,0,Low Risk
DIRE DAWA,Barely,2001,58318.95,0,0,5,2000,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_2001,Barely_2001,21.65,-1.0,-1.0,0.0,361.5824175824176,-361.5824175824176,316.6666666666667,548.4827557301445,0.0,-363.5824175824176,2,High Risk
Tigray,Barely,2002,53237.55,58908878,1107,6,2000,0,9,1323.2252747252746,-0.427235216789182,0,726.1538461538462,0.0289221176182907,53214.885275519424,0,Tigray_Barely,Tigray_2002,Barely_2002,53237.55,inf,inf,1106.5287189211374,1323.2252747252746,-216.22527472527463,685.6666666666666,598.9710621835859,1106.5287189211374,inf,1,Medium Risk
Afar,Barely,2002,21.41,15983,747,6,2000,0,0,454.0164835164835,-0.95344508687357,0,726.1538461538462,inf,21.39625167336011,0,Afar_Barely,Afar_2002,Barely_2002,21.41,-0.3252032520325203,-0.9997286826613808,746.5203176085942,425.4088397790055,321.5911602209945,618.0,564.6618457094474,746.5203176085942,320.2662282863006,0,Low Risk
Amhara,Barely,2002,274628.32,312728240,1139,6,2000,0,1,1654.5824175824175,-0.551515657014545,0,726.1538461538462,0.2566836513268931,274563.8630377524,0,Amhara_Barely,Amhara_2002,Barely_2002,274628.32,0.5247657295850068,19565.304198210597,1138.7326696678624,1625.4222222222222,-486.4222222222222,997.6666666666666,217.6725369295196,1138.7326696678624,19079.406741717958,1,Medium Risk
Oromiya,Barely,2002,367426.19,477339538,1299,6,2000,0,6,1857.7087912087911,5.6924467111977775,0,726.1538461538462,-0.0699595554568374,367466.9268668206,0,Oromiya_Barely,Oromiya_2002,Barely_2002,367426.19,0.14047410008779626,0.5263717085479713,1299.1440212794848,1817.2122905027934,-518.2122905027934,1061.6666666666667,284.00938951614444,1299.1440212794848,-517.5454446941576,1,Medium Risk
Somalia,Barely,2002,6511.81,5772128,886,6,2000,0,8,549.7857142857143,inf,0,726.1538461538462,1.9661500513874608,6514.817155756207,0,Somalia_Barely,Somalia_2002,Barely_2002,6511.81,-0.31793687451886066,-0.9879077102555037,886.409155058271,549.7857142857143,336.21428571428567,1108.0,208.2378447833143,886.409155058271,334.9084411295113,0,Low Risk
Benushangul Gumuz,Barely,2002,1047.11,1044418,997,6,2000,0,2,1183.4835164835165,-0.862448656197632,0,726.1538461538462,inf,1047.5606820461385,0,Benushangul Gumuz_Barely,Benushangul Gumuz_2002,Barely_2002,1047.11,0.12528216704288941,-0.8190584131190438,997.4291144196885,1148.8333333333333,-151.83333333333326,1060.6666666666667,213.73425867963476,997.4291144196885,-152.5271095794094,1,Medium Risk
S.N.N.P.R,Barely,2002,68463.31,75973303,1110,6,2000,0,7,1521.2747252747254,-0.232256697218126,0,726.1538461538462,-0.382972979338574,68444.41711711712,0,S.N.N.P.R_Barely,S.N.N.P.R_2002,Barely_2002,68463.31,0.11334002006018062,71.74223826092619,1109.6936884880383,1491.7666666666667,-381.76666666666665,997.6666666666666,112.0014880853511,1109.6936884880383,-309.9110883856803,1,Medium Risk
Gambela,Barely,2002,9.41,2121,225,6,2000,0,4,485.2197802197802,inf,0,726.1538461538462,inf,9.426666666666666,0,Gambela_Barely,Gambela_2002,Barely_2002,9.41,-0.7972972972972973,-0.9999720822984358,225.39851222104144,462.8839779005525,-237.8839779005525,777.3333333333334,481.65997688549237,225.39851222104144,-239.68124728014826,2,High Risk
Harari,Barely,2002,18.04,0,0,6,2000,0,5,12684.181318681318,-0.1133742964865565,0,726.1538461538462,-1.0,64289.84447004608,0,Harari_Barely,Harari_2002,Barely_2002,18.04,-1.0,-1.0,0.0,536.2277777777778,-536.2277777777778,445.0,586.7921267365468,0.0,-538.2277777777778,2,High Risk
DIRE DAWA,Barely,2002,58318.95,0,0,6,2000,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_2002,Barely_2002,21.65,0.0,0.0,0.0,361.5824175824176,-361.5824175824176,75.0,129.90381056766373,0.0,-361.5824175824176,1,Medium Risk
Tigray,Barely,2004,76521.0,82077000,1073,8,2000,0,9,1323.2252747252746,-0.21649730565645,0,726.1538461538462,0.3932874430234439,76493.01025163094,0,Tigray_Barely,Tigray_2004,Barely_2004,76521.0,inf,inf,1072.6075195044498,1323.2252747252746,-250.22527472527463,357.6666666666667,619.4968388404681,1072.6075195044498,inf,1,Medium Risk
Afar,Barely,2004,58318.95,0,0,8,2000,0,0,454.0164835164835,-1.0,0,726.1538461538462,-1.0,64289.84447004608,1,Afar_Barely,Afar_2004,Barely_2004,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,357.6666666666667,619.4968388404682,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,2004,357174.0,367108600,1028,8,2000,0,1,1654.5824175824175,-0.49739220985759,0,726.1538461538462,0.1738901482002393,357109.53307392995,0,Amhara_Barely,Amhara_2004,Barely_2004,357174.0,inf,inf,1027.8144545795606,1625.4222222222222,-597.4222222222222,700.3333333333334,606.9236635140642,1027.8144545795606,inf,1,Medium Risk
Oromiya,Barely,2004,412329.0,549074700,1332,8,2000,0,6,1857.7087912087911,-0.220568651958853,0,726.1538461538462,0.1502812071687218,412218.24324324325,0,Oromiya_Barely,Oromiya_2004,Barely_2004,412329.0,0.2957198443579767,0.4956737597539256,1331.6422080426069,1817.2122905027934,-485.2122905027934,786.6666666666666,698.02387733754,1331.6422080426069,-484.4208968986815,1,Medium Risk
Somalia,Barely,2004,4012.0,4192500,1045,8,2000,0,8,549.7857142857143,inf,0,726.1538461538462,-0.273664755875129,4011.9617224880394,0,Somalia_Barely,Somalia_2004,Barely_2004,4012.0,-0.2154654654654654,-0.9923644269167747,1044.9900299102692,549.7857142857143,495.21428571428567,1135.0,170.81861725233463,1044.9900299102692,494.00645582190344,0,Low Risk
Benushangul Gumuz,Barely,2004,58318.95,0,0,8,2000,0,2,1183.4835164835165,-1.0,0,726.1538461538462,-1.0,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_2004,Barely_2004,928.440625,-1.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,792.3333333333334,701.025201639237,0.0,-1150.8333333333333,2,High Risk
